id;titulo;resumen;descripcion;fecha;direccion;imagen;fila_asientos;column_asientos;precio_entrada;evento_tipo_id
1;ew scarcely gah;though;../fake-data/blob/hipster.txt;2025-11-08T10:11:21;about;proceed apprehensive cuddly;22780;16548;31180.65;1
2;against speedily bah;pillory;../fake-data/blob/hipster.txt;2025-11-07T22:28:34;roughly;repeatedly;10806;28851;20603.83;2
3;forgather;greedily;../fake-data/blob/hipster.txt;2025-11-07T20:57:58;lashes pfft um;quicker pfft diligently;7656;14341;6247.77;3
4;hopelessly;sate bourgeoisie with;../fake-data/blob/hipster.txt;2025-11-08T15:05:22;travel sparkling huzzah;awkwardly case;7100;16374;579.65;4
5;wonderful however yuck;if yippee;../fake-data/blob/hipster.txt;2025-11-07T18:43:38;amid ape;yearly;21738;29854;31722.17;5
6;loose convoke yahoo;wash uncork import;../fake-data/blob/hipster.txt;2025-11-08T01:36:13;tut;meh kissingly pasta;15339;29330;438.83;6
7;gee where peter;bleakly boiling revoke;../fake-data/blob/hipster.txt;2025-11-08T15:07:25;yesterday zowie achieve;sedately stable immediate;28466;27936;3634.7;7
8;searchingly;er;../fake-data/blob/hipster.txt;2025-11-08T15:06:18;puny neatly;blah ah archaeology;9471;587;18414.18;8
9;eek meh;onto indolent;../fake-data/blob/hipster.txt;2025-11-08T11:44:13;within;deform;6932;32225;1424.13;9
10;anti exalted worth;whenever quinoa hastily;../fake-data/blob/hipster.txt;2025-11-07T23:28:45;trash vibraphone but;ah after;1111;25878;6512.37;10
