id;venta_id;fecha_venta;resultado;descripcion;precio_venta;usuario_id;evento_id
1;3220;2025-11-07T16:17:27;true;abaft why disadvantage;3029.53;1;1
2;26526;2025-11-07T18:08:39;true;amidst where;28508.33;2;2
3;6958;2025-11-07T22:57:42;true;gee;21280.41;2;3
4;11760;2025-11-07T17:06:06;false;settler;13339.89;1;4
5;17953;2025-11-08T02:15:42;true;midst;4796.41;2;5
6;3694;2025-11-08T10:21:34;false;almost because overcharge;12355.4;2;6
7;27627;2025-11-08T01:57:40;true;minus ugh;21164.28;1;7
8;14622;2025-11-08T12:05:06;false;smoothly yippee than;11127.12;1;8
9;7035;2025-11-07T21:06:47;true;object what;20317.71;2;9
10;27875;2025-11-08T00:32:00;false;director hard-to-find;1391.58;1;10
