GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Microservices Final,com.example.demo.service.mapper,VentaDetalleMapper,4,26,2,2,0,5,2,2,0,2
Microservices Final,com.example.demo.service.mapper,LoginMapperImpl,47,0,4,0,15,0,5,0,3,0
Microservices Final,com.example.demo.service.mapper,EventoMapper,0,9,0,0,0,1,0,1,0,1
Microservices Final,com.example.demo.service.mapper,EventoResumenMapperImpl,4,61,2,2,2,17,2,3,0,3
Microservices Final,com.example.demo.service.mapper,VentaResumenMapperImpl,6,49,5,3,2,15,4,3,0,3
Microservices Final,com.example.demo.service.mapper,EventoCompletoMapper,9,0,0,0,1,0,1,0,1,0
Microservices Final,com.example.demo.service.mapper,EventoTipoMapperImpl,87,43,18,2,25,13,13,3,3,3
Microservices Final,com.example.demo.service.mapper,IntegranteMapper,0,9,0,0,0,1,0,1,0,1
Microservices Final,com.example.demo.service.mapper,BloqueoAsientoMapperImpl,2,25,1,1,1,7,1,2,0,2
Microservices Final,com.example.demo.service.mapper,RealizarVentaMapper,2,24,1,1,0,4,1,2,0,2
Microservices Final,com.example.demo.service.mapper,VentaMapperImpl,536,109,94,6,146,31,60,7,10,7
Microservices Final,com.example.demo.service.mapper,BloqueoAsientoMapper,2,15,1,1,0,3,1,1,0,1
Microservices Final,com.example.demo.service.mapper,EventoDetalleMapperImpl,6,99,3,3,3,27,3,4,0,4
Microservices Final,com.example.demo.service.mapper,VentaDetalleMapperImpl,8,77,6,4,3,22,5,4,0,4
Microservices Final,com.example.demo.service.mapper,AsientoMapperImpl,631,80,112,4,173,23,71,5,13,5
Microservices Final,com.example.demo.service.mapper,EventoMapperImpl,342,157,62,6,95,39,41,6,7,6
Microservices Final,com.example.demo.service.mapper,EventoCompletoMapperImpl,113,0,6,0,32,0,7,0,4,0
Microservices Final,com.example.demo.service.mapper,EventoDetalleMapper,0,9,0,0,0,1,0,1,0,1
Microservices Final,com.example.demo.service.mapper,AlumnoProfileMapperImpl,151,64,30,4,44,19,21,5,4,5
Microservices Final,com.example.demo.service.mapper,IntegranteMapperImpl,298,57,40,2,78,16,29,3,8,3
Microservices Final,com.example.demo.service.mapper,LoginMapper,5,0,0,0,1,0,1,0,1,0
Microservices Final,com.example.demo.service.mapper,UserMapper,95,135,12,6,26,38,11,12,5,9
Microservices Final,com.example.demo.service.mapper,RealizarVentaMapperImpl,8,77,6,4,3,22,5,4,0,4
Microservices Final,com.example.demo.service.mapper,AgregarUsuarioMapperImpl,55,0,6,0,19,0,7,0,4,0
Microservices Final,com.example.demo.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
Microservices Final,com.example.demo.web.rest.vm,ManagedUserVM,14,0,0,0,6,0,4,0,4,0
Microservices Final,com.example.demo.web.rest.vm,LoginVM,30,0,0,0,11,0,8,0,8,0
